Row,Tipo,Parola,Significato,Parti del discorso,Disambiguation,Root,Group,Special Note,Participio Passato Irregolare,Aus.,Prep. Before Next Infinitive,Dizionario
5838,Alta Disponibilità,scorpione,,"s.m., s.m.inv.",,,,,,,,http://dizionario.internazionale.it/parola/scorpione
5839,Fondamentale,scorrere,,v.intr. e tr.,,,,,Irr PP: scorso,,,http://dizionario.internazionale.it/parola/scorrere
5840,Alta Disponibilità,scorretto,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/scorretto
5841,Fondamentale,scorso,,"p.pass., agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/scorso
5842,Alto Uso,scorta,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/scorta
5843,Alta Disponibilità,scortese,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/scortese
5844,Alta Disponibilità,scossa,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/scossa
5845,Alta Disponibilità,scout,,"s.m. e f.inv., agg.inv.",,,,,,,,http://dizionario.internazionale.it/parola/scout
5846,Alta Disponibilità,scozzese,,"agg., s.m. e f.",,,,,,,,http://dizionario.internazionale.it/parola/scozzese
5847,Alta Disponibilità,screpolare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/screpolare
5848,Alta Disponibilità,scricchiolare,,v.intr.,,,,,,,,http://dizionario.internazionale.it/parola/scricchiolare
5849,Alto Uso,scritta,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/scritta
5850,Alto Uso,scritto,,"p.pass., agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/scritto
5851,Fondamentale,scrittore,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/scrittore
5852,Fondamentale,scrittura,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/scrittura
5853,Alto Uso,scrivania,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/scrivania
5854,Fondamentale,scrivere,,v.tr.,,,,,Irr PP: scritto,,,http://dizionario.internazionale.it/parola/scrivere
5855,Alta Disponibilità,scrofa,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/scrofa
5856,Alta Disponibilità,scrupolo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/scrupolo
5857,Alta Disponibilità,scudetto,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/scudetto
5858,Alto Uso,scudo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/scudo
5859,Alta Disponibilità,scultore,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/scultore
5860,Alto Uso,scultura,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/scultura
5861,Fondamentale,scuola,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/scuola
5862,Alto Uso,scuotere,,v.tr.,,,,,Irr PP: scosso,,,http://dizionario.internazionale.it/parola/scuotere
5863,Alta Disponibilità,scure,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/scure
5864,Alta Disponibilità,scurire,,v.tr. e intr.,,,,"finire ""isc"" conjugation",,,,http://dizionario.internazionale.it/parola/scurire
5865,Alto Uso,scuro,1,"agg., s.m., avv.",,,,,,,,http://dizionario.internazionale.it/parola/scuro
5866,Fondamentale,scusa,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/scusa
5867,Fondamentale,scusare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/scusare
5868,Alta Disponibilità,sdebitarsi,,v.pronom.intr.,,,,,,,,http://dizionario.internazionale.it/parola/sdebitarsi
5869,Alta Disponibilità,sdegnare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/sdegnare
5870,Alto Uso,sdraiare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/sdraiare
5871,Alta Disponibilità,sdraiato,,"p.pass., agg.",,sdraiare,,,,,,http://dizionario.internazionale.it/parola/sdraiato
5872,Fondamentale,se,1,pron.pers. di terza pers.m. e f.sing. e pl.,Pronoun,,Pron. Pers.,,,,,http://dizionario.internazionale.it/parola/se
5873,Fondamentale,se,2,"cong., s.m.inv.",Conjunction,,,,,,,http://dizionario.internazionale.it/parola/se_2
5874,Alto Uso,sebbene,,cong.,,,,,,,,http://dizionario.internazionale.it/parola/sebbene
5875,Alto Uso,seccare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/seccare
5876,Alta Disponibilità,seccatura,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/seccatura
5877,Alto Uso,secchio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/secchio
5878,Alto Uso,secchione,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/secchione
5879,Fondamentale,secco,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/secco
5880,Fondamentale,secolo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/secolo
5881,Alto Uso,seconda,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/seconda
5882,Alto Uso,secondario,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/secondario
5883,Fondamentale,secondo,1,"agg.num.ord., s.m., avv.",,,Numbers,,,,,http://dizionario.internazionale.it/parola/secondo
5884,Fondamentale,secondo,2,"prep., cong.",,,,,,,,http://dizionario.internazionale.it/parola/secondo_2
5885,Alta Disponibilità,sedano,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sedano
5886,Fondamentale,sede,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/sede
5887,Fondamentale,sedere,1,v.intr. e tr.,,,,,,,,http://dizionario.internazionale.it/parola/sedere
5888,Fondamentale,sedia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/sedia
5889,Alto Uso,sedici,,"agg.num.card.inv., s.m.inv., s.f.pl., s.m.pl.",,,Numbers,,,,,http://dizionario.internazionale.it/parola/sedici
5890,Alto Uso,sedile,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sedile
5891,Alto Uso,sedurre,,v.tr.,,-durre,,-rre verb,Irr PP: sedotto,,,http://dizionario.internazionale.it/parola/sedurre
5892,Alto Uso,seduta,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/seduta
5893,Alta Disponibilità,seduttore,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/seduttore
5894,Alta Disponibilità,seggiolino,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/seggiolino
5895,Alta Disponibilità,seggiovia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/seggiovia
5896,Alta Disponibilità,segheria,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/segheria
5897,Alto Uso,segmento,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/segmento
5898,Fondamentale,segnalare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/segnalare
5899,Alto Uso,segnalazione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/segnalazione
5900,Fondamentale,segnale,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/segnale
5901,Fondamentale,segnare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/segnare
5902,Fondamentale,segno,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/segno
5903,Alto Uso,segretaria,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/segretaria
5904,Alto Uso,segretario,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/segretario
5905,Alto Uso,segreteria,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/segreteria
5906,Fondamentale,segreto,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/segreto
5907,Fondamentale,segreto,2,"agg., s.m., avv.",,,,,,,,http://dizionario.internazionale.it/parola/segreto_2
5908,Fondamentale,seguente,,"p.pres., agg., s.m. e f.",,seguire,,,,,,http://dizionario.internazionale.it/parola/seguente
5909,Fondamentale,seguire,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/seguire
5910,Fondamentale,seguito,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/seguito
5911,Fondamentale,sei,,"agg.num.card.inv., s.m.inv., s.f.pl.",,,Numbers,,,,,http://dizionario.internazionale.it/parola/sei
5912,Alto Uso,selezionare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/selezionare
5913,Alto Uso,selezione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/selezione
5914,Alta Disponibilità,selva,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/selva
5915,Alta Disponibilità,selvaggina,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/selvaggina
5916,Alto Uso,selvaggio,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/selvaggio
5917,Alta Disponibilità,semaforo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/semaforo
5918,Alto Uso,semantico,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/semantico
5919,Fondamentale,sembrare,,v.intr.,,,,,,Essere,,http://dizionario.internazionale.it/parola/sembrare
5920,Alto Uso,seme,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/seme
5921,Alta Disponibilità,semestre,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/semestre
5922,Alta Disponibilità,semifreddo,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/semifreddo
5923,Alto Uso,seminare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/seminare
5924,Alto Uso,semmai,,"cong., avv.",,,,,,,,http://dizionario.internazionale.it/parola/semmai
5925,Alta Disponibilità,semolino,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/semolino
5926,Fondamentale,semplice,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/semplice
5927,Fondamentale,semplicemente,,avv.,,semplice,,,,,,http://dizionario.internazionale.it/parola/semplicemente
5928,Alto Uso,semplicità,,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/semplicita
5929,Alto Uso,semplificare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/semplificare
5930,Fondamentale,sempre,,avv.,,,,,,,,http://dizionario.internazionale.it/parola/sempre
5931,Alta Disponibilità,senape,,"s.f., s.m.inv., agg.inv.",,,,,,,,http://dizionario.internazionale.it/parola/senape
5932,Alto Uso,senato,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/senato
5933,Alto Uso,senatore,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/senatore
5934,Alto Uso,sennò,,avv.,,,,,,,,http://dizionario.internazionale.it/parola/senno
5935,Fondamentale,seno,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/seno
5936,Fondamentale,sensazione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/sensazione
5937,Alto Uso,sensibile,,"agg., s.m., s.f.",,,,,,,,http://dizionario.internazionale.it/parola/sensibile
5938,Alto Uso,sensibilità,,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/sensibilita
5939,Fondamentale,senso,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/senso
5940,Alto Uso,sensuale,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/sensuale
5941,Fondamentale,sentenza,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/sentenza
5942,Alto Uso,sentiero,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sentiero
5943,Alto Uso,sentimentale,,"agg., s.m. e f.",,,,,,,,http://dizionario.internazionale.it/parola/sentimentale
5944,Fondamentale,sentimento,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sentimento
5945,Fondamentale,sentire,1,"v.tr., v.intr.",,,,,,,,http://dizionario.internazionale.it/parola/sentire
5946,Alto Uso,sentito,,"p.pass., agg.",,,,,,,,http://dizionario.internazionale.it/parola/sentito
5947,Fondamentale,senza,,"prep., cong., inter.",,,,,,,,http://dizionario.internazionale.it/parola/senza
5948,Fondamentale,separare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/separare
5949,Alto Uso,separato,,"p.pass., agg., s.m.",,separare,,,,,,http://dizionario.internazionale.it/parola/separato
5950,Alto Uso,separazione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/separazione
5951,Alto Uso,sepolto,,"p.pass., agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/sepolto
5952,Alto Uso,seppellire,,v.tr.,,,,"finire ""isc"" conjugation",,,,http://dizionario.internazionale.it/parola/seppellire
5953,Alta Disponibilità,seppia,,"s.f., agg.inv., s.m.inv.",,,,,,,,http://dizionario.internazionale.it/parola/seppia
5954,Alto Uso,sequenza,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/sequenza
5955,Alto Uso,sequestrare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/sequestrare
5956,Alto Uso,sequestro,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sequestro
5957,Fondamentale,sera,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/sera
5958,Fondamentale,serata,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/serata
5959,Alta Disponibilità,serbo,1,"agg., s.m.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/serbo
5960,Alta Disponibilità,serenata,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/serenata
5961,Alto Uso,serenità,,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/serenita
5962,Fondamentale,sereno,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/sereno
5963,Alto Uso,sergente,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sergente
5964,Alto Uso,seriamente,,avv.,,serio,,,,,,http://dizionario.internazionale.it/parola/seriamente
5965,Fondamentale,serie,,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/serie
5966,Alta Disponibilità,serietà,,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/serieta
5967,Fondamentale,serio,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/serio
5968,Alto Uso,serpente,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/serpente
5969,Alto Uso,serra,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/serra
5970,Fondamentale,servire,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/servire
5971,Fondamentale,servizio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/servizio
5972,Alto Uso,servo,,"s.m., agg.",,,,,,,,http://dizionario.internazionale.it/parola/servo
5973,Alto Uso,sessanta,,"agg.num.card.inv., s.m.inv.",,,Numbers,,,,,http://dizionario.internazionale.it/parola/sessanta
5974,Fondamentale,sesso,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sesso
5975,Fondamentale,sessuale,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/sessuale
5976,Alto Uso,sesto,1,"agg.num.ord., s.m.",,,Numbers,,,,,http://dizionario.internazionale.it/parola/sesto
5977,Alto Uso,set,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/set
5978,Alto Uso,seta,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/seta
5979,Alto Uso,sete,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/sete
5980,Alto Uso,setta,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/setta
5981,Alto Uso,settanta,,"agg.num.card.inv., s.m.inv., s.m.pl.",,,Numbers,,,,,http://dizionario.internazionale.it/parola/settanta
5982,Fondamentale,sette,,"agg.num.card.inv., s.m.inv., s.f.pl.",,,Numbers,,,,,http://dizionario.internazionale.it/parola/sette
5983,Fondamentale,settembre,,s.m.,,,Months of the Year,,,,,http://dizionario.internazionale.it/parola/settembre
5984,Alta Disponibilità,settentrione,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/settentrione
5985,Fondamentale,settimana,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/settimana
5986,Alto Uso,settimanale,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/settimanale
5987,Alto Uso,settimo,1,"agg.num.ord., s.m.",,,Numbers,,,,,http://dizionario.internazionale.it/parola/settimo
5988,Fondamentale,settore,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/settore
5989,Alto Uso,severo,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/severo
5990,Alto Uso,sexy,,agg.inv.,,,,,,,,http://dizionario.internazionale.it/parola/sexy
5991,Fondamentale,sezione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/sezione
5992,Alto Uso,sfera,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/sfera
5993,Fondamentale,sfida,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/sfida
5994,Alto Uso,sfidare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/sfidare
5995,Alta Disponibilità,sfiducia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/sfiducia
5996,Alto Uso,sfigato,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/sfigato
5997,Alto Uso,sfilare,2,v.intr.,,,,,,,,http://dizionario.internazionale.it/parola/sfilare_2
5998,Alto Uso,sfilata,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/sfilata
5999,Alta Disponibilità,sfinire,,v.tr.,,,,"finire ""isc"" conjugation",,,,http://dizionario.internazionale.it/parola/sfinire
6000,Alto Uso,sfiorare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/sfiorare
6001,Alta Disponibilità,sfociare,,v.intr. e tr.,,,,,,,,http://dizionario.internazionale.it/parola/sfociare
6002,Alto Uso,sfogare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/sfogare
6003,Alta Disponibilità,sfoglia,1,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/sfoglia
6004,Alto Uso,sfogliare,2,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/sfogliare_2
6005,Alto Uso,sfogo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sfogo
6006,Alta Disponibilità,sfollamento,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sfollamento
6007,Alta Disponibilità,sfollare,,v.intr. e tr.,,,,,,,,http://dizionario.internazionale.it/parola/sfollare
6008,Alto Uso,sfondare,,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/sfondare
6009,Alto Uso,sfondo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sfondo
6010,Alta Disponibilità,sfortunato,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/sfortunato
6011,Alto Uso,sforzare,1,v.tr. e intr.,,,,,,,,http://dizionario.internazionale.it/parola/sforzare
6012,Fondamentale,sforzo,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sforzo
6013,Alta Disponibilità,sfrenato,,"p.pass., agg.",,sfrenare,,,,,,http://dizionario.internazionale.it/parola/sfrenato
6014,Fondamentale,sfruttare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/sfruttare
6015,Fondamentale,sfuggire,,v.tr. e intr.,,,,,,Essere,,http://dizionario.internazionale.it/parola/sfuggire
6016,Alta Disponibilità,sgabello,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sgabello
6017,Alta Disponibilità,sganciare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/sganciare
6018,Alta Disponibilità,sgarbato,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/sgarbato
6019,Alta Disponibilità,sgarbo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sgarbo
6020,Alta Disponibilità,sgombro,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sgombro
6021,Alta Disponibilità,sgomento,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sgomento
6022,Alta Disponibilità,sgonfiare,1,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/sgonfiare
6023,Alta Disponibilità,sgozzare,1,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/sgozzare
6024,Alta Disponibilità,sgrassare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/sgrassare
6025,Alta Disponibilità,sgrassatore,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sgrassatore
6026,Alta Disponibilità,sgridare,1,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/sgridare
6027,Fondamentale,sguardo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sguardo
6028,Alta Disponibilità,shampoo,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/shampoo
6029,Alto Uso,share,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/share
6030,Alto Uso,shopping,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/shopping
6031,Alta Disponibilità,shorts,,s.m.pl.,,,,,,,,http://dizionario.internazionale.it/parola/shorts
6032,Alto Uso,show,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/show
6033,Fondamentale,si,2,pron.pers. di terza pers.m. e f.sing. e pl.,,,Pron. Pers.,,,,,http://dizionario.internazionale.it/parola/si_2
6034,Fondamentale,sì,1,"avv., s.m.inv., agg.inv.",,,,,,,,http://dizionario.internazionale.it/parola/si
6035,Fondamentale,sia,,cong.,,,,e … e / sia … sia,,,,http://dizionario.internazionale.it/parola/sia
6036,Alta Disponibilità,siamese,,"agg., s.m. e f.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/siamese
6037,Alto Uso,sicché,,cong.,,,,,,,,http://dizionario.internazionale.it/parola/sicche
6038,Alta Disponibilità,siccità,,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/siccita
6039,Fondamentale,siccome,,"cong., avv.",,,,,,,,http://dizionario.internazionale.it/parola/siccome
6040,Alto Uso,siciliano,,"agg., s.m.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/siciliano
6041,Fondamentale,sicuramente,,avv.,,sicuro,,,,,,http://dizionario.internazionale.it/parola/sicuramente
6042,Fondamentale,sicurezza,,s.f.,,sicuro,,,,,,http://dizionario.internazionale.it/parola/sicurezza
6043,Fondamentale,sicuro,,"agg., s.m., avv.",,,,,,,,http://dizionario.internazionale.it/parola/sicuro
6044,Alta Disponibilità,siepe,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/siepe
6045,Fondamentale,sigaretta,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/sigaretta
6046,Alta Disponibilità,sigaro,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sigaro
6047,Alto Uso,sigla,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/sigla
6048,Fondamentale,significare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/significare
6049,Alto Uso,significativo,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/significativo
6050,Fondamentale,significato,,"p.pass., s.m.",,significare,,,,,,http://dizionario.internazionale.it/parola/significato
6051,Fondamentale,signora,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/signora
6052,Fondamentale,signore,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/signore
6053,Fondamentale,signorina,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/signorina
6054,Fondamentale,silenzio,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/silenzio
6055,Alto Uso,silenzioso,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/silenzioso
6056,Alta Disponibilità,sillaba,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/sillaba
6057,Alto Uso,simbolico,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/simbolico
6058,Fondamentale,simbolo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/simbolo
6059,Fondamentale,simile,,"agg., agg.dimostr., s.m. e f., s.m., avv.",,,,,,,,http://dizionario.internazionale.it/parola/simile
6060,Alto Uso,simpatia,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/simpatia
6061,Fondamentale,simpatico,1,agg.,,,,,,,,http://dizionario.internazionale.it/parola/simpatico
6062,Alto Uso,simulare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/simulare
6063,Alto Uso,sinceramente,,avv.,,sincero,,,,,,http://dizionario.internazionale.it/parola/sinceramente
6064,Alto Uso,sincero,1,agg.,,,,,,,,http://dizionario.internazionale.it/parola/sincero
6065,Alto Uso,sindacale,1,agg.,,,,,,,,http://dizionario.internazionale.it/parola/sindacale
6066,Alto Uso,sindacato,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sindacato
6067,Alto Uso,sindaco,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sindaco
6068,Alto Uso,sindrome,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/sindrome
6069,Alto Uso,single,,s.m. e f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/single
6070,Alto Uso,singolare,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/singolare
6071,Fondamentale,singolo,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/singolo
6072,Fondamentale,sinistra,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/sinistra
6073,Fondamentale,sinistro,,"agg., s.m.",,,,,,,,http://dizionario.internazionale.it/parola/sinistro
6074,Fondamentale,sino,,"prep., avv.",,,,,,,,http://dizionario.internazionale.it/parola/sino
6075,Alto Uso,sinonimo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sinonimo
6076,Alto Uso,sintesi,,s.f.inv.,,,,,,,,http://dizionario.internazionale.it/parola/sintesi
6077,Alto Uso,sintetico,,agg.,,,,,,,,http://dizionario.internazionale.it/parola/sintetico
6078,Alto Uso,sintetizzare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/sintetizzare
6079,Alto Uso,sintomo,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sintomo
6080,Alto Uso,sir,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/sir
6081,Alta Disponibilità,siriano,,"agg., s.m.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/siriano
6082,Alta Disponibilità,siringa,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/siringa
6083,Fondamentale,sistema,,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sistema
6084,Fondamentale,sistemare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/sistemare
6085,Fondamentale,sito,1,s.m.,,,,,,,,http://dizionario.internazionale.it/parola/sito
6086,Fondamentale,sito,3,agg.,,,,,,,,http://dizionario.internazionale.it/parola/sito_3
6087,Alto Uso,situare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/situare
6088,Fondamentale,situazione,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/situazione
6089,Alta Disponibilità,slacciare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/slacciare
6090,Alta Disponibilità,slanciato,,"p.pass., agg.",,slanciare,,,,,,http://dizionario.internazionale.it/parola/slanciato
6091,Alta Disponibilità,slavo,,"agg., s.m.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/slavo
6092,Alta Disponibilità,slegare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/slegare
6093,Alta Disponibilità,slip,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/slip
6094,Alta Disponibilità,slitta,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/slitta
6095,Alto Uso,slogan,,s.m.inv.,,,,,,,,http://dizionario.internazionale.it/parola/slogan
6096,Alta Disponibilità,slogare,,v.tr.,,,,,,,,http://dizionario.internazionale.it/parola/slogare
6097,Alta Disponibilità,slogatura,,s.f.,,,,,,,,http://dizionario.internazionale.it/parola/slogatura
6098,Alta Disponibilità,slovacco,,"agg., s.m.",,,Demonym,,,,,http://dizionario.internazionale.it/parola/slovacco
